StudentID,Q1_Favorite_Subjects,Q2_Enjoyed_Activities,Q3_Strongest_Skills,Q4_Work_Style,Q5_Workplace_Preference,Q6_Exam_Readiness,Q7_Location_Preference,Q8_Career_Values,Q9_LongTerm_Goal,Q10_Academic_Background,Recommended_Course,Recommended_Career,Recommended_College_Type,Recommendation_Score
S00020,"History, Design","Organizing Events, Reading","Creativity, Creativity",Both,Outdoors,Maybe,Abroad,Job Security,Lawyer,Arts-55%,BA Political Science,Public Policy Analyst,Tier-2,0.71
S00021,"Computer Science, Maths","Coding, Sports","Problem Solving, Programming",Theoretical,Startup,Yes,Abroad,Job Security,Engineer,Commerce-54%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.7
S00022,"Maths, Chemistry","Public Speaking, Research","Research, Writing",Practical,Startup,Maybe,Abroad,Creativity & Freedom,Doctor,Science-58%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.71
S00023,"Biology, Physics","Debating, Drawing","Presentation, Communication",Both,Corporate Office,No,Flexible,Balanced,Entrepreneur,Science-52%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.7
S00024,"History, Fine Arts","Debating, Sports","Leadership, Financial Analysis",Practical,Government Office,Maybe,Abroad,Balanced,Entrepreneur,Arts-55%,BA History,Researcher/Archivist,Tier-2,0.78
S00025,"Design, History","Solving Puzzles, Research","Analysis, Design Thinking",Theoretical,Outdoors,No,India,Balanced,Engineer,Science-52%,BFA,Artist/Designer,Tier-2,0.68
S00026,"Design, Fine Arts","Helping Others, Designing","Design Thinking, Leadership",Practical,Corporate Office,Maybe,India,Creativity & Freedom,Lawyer,Science-54%,BA Political Science,Public Policy Analyst,Tier-2,0.71
S00027,"Computer Science, Accountancy","Coding, Debating","Analysis, Writing",Practical,Creative Studio,Yes,India,Balanced,Scientist,Science-70%,B.Tech Civil,Civil Engineer,Tier-2,0.83
S00028,"Maths, Business Studies","Public Speaking, Drawing","Presentation, Teamwork",Practical,Outdoors,No,Abroad,Job Security,Manager,Arts-79%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.89
S00029,"Maths, Computer Science","Solving Puzzles, Designing","Programming, Design Thinking",Both,Research Lab,Yes,Abroad,Balanced,Scientist,Commerce-56%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.73
S00030,"Fine Arts, Psychology","Debating, Reading","Design Thinking, Design Thinking",Both,Government Office,No,Abroad,Creativity & Freedom,Manager,Science-80%,BA History,Researcher/Archivist,Tier-2,0.9
S00031,"Computer Science, Maths","Solving Puzzles, Solving Puzzles","Programming, Leadership",Both,Creative Studio,Yes,India,Job Security,Doctor,Science-80%,B.Tech CSE,Software Engineer,Tier-2,0.89
S00032,"Design, Psychology","Reading, Sports","Design Thinking, Leadership",Both,Classroom,No,Abroad,Job Security,Entrepreneur,Commerce-45%,BA Economics,Economist/Analyst,Tier-2,0.7
S00033,"Computer Science, Biology","Drawing, Public Speaking","Leadership, Problem Solving",Practical,NGO,Yes,Abroad,Balanced,Designer,Vocational-78%,B.Tech CSE,Software Engineer,Tier-2,0.85
S00034,"Design, Psychology","Designing, Public Speaking","Research, Communication",Both,NGO,No,Abroad,Job Security,Manager,Science-83%,BFA,Artist/Designer,Tier-2,0.91
S00035,"Physics, Maths","Experiments, Helping Others","Analysis, Analysis",Both,Startup,Yes,India,Job Security,Scientist,Commerce-90%,B.Tech ECE,Embedded Systems Engineer,Tier-1,0.9
S00036,"Computer Science, Biology","Solving Puzzles, Coding","Leadership, Problem Solving",Theoretical,Classroom,Maybe,Flexible,Job Security,Data Scientist,Science-50%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.68
S00037,"Biology, Chemistry","Experiments, Debating","Writing, Teamwork",Theoretical,Corporate Office,No,Abroad,Balanced,Manager,Arts-86%,Diploma in Design,Junior Designer,Tier-2,0.95
S00038,"Psychology, History","Reading, Reading","Design Thinking, Presentation",Both,Corporate Office,Yes,Flexible,Creativity & Freedom,Entrepreneur,Arts-51%,BA Economics,Economist/Analyst,Tier-2,0.68
S00039,"Biology, Maths","Sports, Coding","Analysis, Teamwork",Theoretical,Classroom,No,India,Creativity & Freedom,Doctor,Commerce-48%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.66
S00040,"Physics, Computer Science","Experiments, Debating","Problem Solving, Problem Solving",Both,Research Lab,Yes,India,Creativity & Freedom,Manager,Science-63%,B.Tech CSE,Software Engineer,Tier-2,0.75
S00041,"Computer Science, Physics","Designing, Helping Others","Leadership, Problem Solving",Theoretical,Classroom,No,Flexible,Job Security,Engineer,Commerce-85%,B.Tech CSE,Software Engineer,Tier-2,0.88
S00042,"Accountancy, Economics","Organizing Events, Organizing Events","Problem Solving, Analysis",Both,Classroom,Maybe,Abroad,Job Security,Designer,Commerce-45%,BBA (Finance),Investment Analyst,Tier-2,0.7
S00043,"Maths, Biology","Helping Others, Reading","Communication, Presentation",Both,Creative Studio,Maybe,Flexible,Creativity & Freedom,Civil Servant,Science-96%,B.Tech IT,IT Engineer,Tier-2,0.95
S00044,"History, Fine Arts","Reading, Experiments","Leadership, Design Thinking",Theoretical,Classroom,No,India,Creativity & Freedom,Lawyer,Science-63%,BA Political Science,Public Policy Analyst,Tier-2,0.81
S00045,"Computer Science, Maths","Coding, Public Speaking","Leadership, Creativity",Practical,Classroom,No,Flexible,Job Security,Civil Servant,Commerce-76%,B.Tech Civil,Civil Engineer,Tier-2,0.89
S00046,"Chemistry, Biology","Research, Debating","Writing, Financial Analysis",Both,Government Office,No,Flexible,Balanced,Lawyer,Science-97%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.97
S00047,"Maths, Computer Science","Experiments, Drawing","Presentation, Leadership",Theoretical,Startup,Maybe,Flexible,Balanced,Entrepreneur,Science-97%,B.Tech Civil,Civil Engineer,Tier-2,0.96
S00048,"Computer Science, Accountancy","Debating, Reading","Writing, Leadership",Theoretical,Research Lab,No,India,Balanced,Designer,Science-52%,B.Com,Accountant,Tier-2,0.72
S00049,"Business Studies, Maths","Debating, Coding","Design Thinking, Writing",Theoretical,NGO,No,Abroad,Job Security,Doctor,Science-80%,B.Tech CSE,Software Engineer,Tier-2,0.91
S00050,"Physics, Computer Science","Helping Others, Solving Puzzles","Programming, Design Thinking",Theoretical,Startup,Yes,India,Balanced,Scientist,Commerce-95%,B.Tech CSE,Software Engineer,Tier-1,0.98
S00051,"Design, Psychology","Reading, Experiments","Writing, Design Thinking",Theoretical,Creative Studio,Maybe,Flexible,Job Security,Data Scientist,Vocational-46%,BA History,Researcher/Archivist,Tier-2,0.69
S00052,"Physics, Chemistry","Experiments, Solving Puzzles","Programming, Creativity",Practical,Corporate Office,No,Abroad,Balanced,Data Scientist,Science-52%,Diploma in Design,Junior Designer,Tier-2,0.69
S00053,"Biology, Physics","Experiments, Experiments","Writing, Financial Analysis",Both,Outdoors,No,India,Balanced,Artist,Commerce-62%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.73
S00054,"Maths, Computer Science","Experiments, Drawing","Research, Presentation",Theoretical,Classroom,No,Flexible,Balanced,Civil Servant,Science-88%,B.Tech CSE,Software Engineer,Tier-2,0.97
S00055,"Computer Science, Accountancy","Coding, Solving Puzzles","Leadership, Financial Analysis",Both,Corporate Office,Maybe,Abroad,Balanced,Doctor,Arts-51%,BBA (Finance),Investment Analyst,Tier-2,0.71
S00056,"Maths, Chemistry","Solving Puzzles, Sports","Problem Solving, Research",Practical,NGO,No,Abroad,Creativity & Freedom,Lawyer,Commerce-55%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.72
S00057,"Biology, Physics","Experiments, Drawing","Analysis, Writing",Theoretical,Startup,No,Flexible,Job Security,Manager,Arts-69%,B.Tech Civil,Civil Engineer,Tier-2,0.77
S00058,"Computer Science, Maths","Experiments, Coding","Problem Solving, Leadership",Theoretical,Research Lab,No,Abroad,Balanced,Civil Servant,Science-90%,B.Tech CSE,Software Engineer,Tier-2,0.95
S00059,"Chemistry, Maths","Coding, Public Speaking","Teamwork, Creativity",Practical,Startup,No,India,Balanced,Entrepreneur,Science-95%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.97
S00060,"Biology, Computer Science","Experiments, Research","Programming, Communication",Theoretical,Outdoors,Maybe,Flexible,Balanced,Entrepreneur,Arts-57%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.73
S00061,"Fine Arts, History","Helping Others, Research","Writing, Design Thinking",Both,NGO,Yes,Abroad,Balanced,Civil Servant,Science-85%,BA Psychology,Counselor/HR,Tier-2,0.9
S00062,"Political Science, Psychology","Organizing Events, Reading","Leadership, Teamwork",Practical,Government Office,Maybe,Abroad,Balanced,Scientist,Science-92%,BA History,Researcher/Archivist,Tier-2,0.95
S00063,"Computer Science, Maths","Debating, Solving Puzzles","Problem Solving, Research",Practical,NGO,Yes,Flexible,Job Security,Scientist,Arts-49%,Diploma in IT,IT Support/Technician,Tier-2,0.69
S00064,"Fine Arts, Design","Sports, Drawing","Creativity, Analysis",Both,Classroom,No,Flexible,Balanced,Civil Servant,Arts-42%,BA Psychology,Counselor/HR,Tier-2,0.61
S00065,"Accountancy, Business Studies","Research, Drawing","Teamwork, Creativity",Both,Startup,No,India,Balanced,Teacher,Arts-42%,B.Com (Hons),Financial Analyst,Tier-2,0.68
S00066,"Maths, Biology","Helping Others, Debating","Programming, Teamwork",Both,Research Lab,Yes,India,Job Security,Data Scientist,Arts-79%,B.Tech CSE,Software Engineer,Tier-2,0.89
S00067,"Computer Science, Chemistry","Experiments, Research","Financial Analysis, Writing",Theoretical,Creative Studio,Maybe,India,Creativity & Freedom,Teacher,Commerce-55%,Diploma in IT,IT Support/Technician,Tier-2,0.72
S00068,"Computer Science, Maths","Solving Puzzles, Research","Writing, Research",Theoretical,Outdoors,No,Abroad,Job Security,Artist,Science-72%,B.Tech IT,IT Engineer,Tier-2,0.81
S00069,"Economics, Maths","Public Speaking, Coding","Design Thinking, Problem Solving",Both,Corporate Office,Maybe,Flexible,Creativity & Freedom,Teacher,Arts-54%,B.Com (Hons),Financial Analyst,Tier-2,0.7
S00070,"Maths, Chemistry","Debating, Experiments","Financial Analysis, Analysis",Practical,Creative Studio,No,India,Balanced,Lawyer,Commerce-50%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.68
S00071,"Chemistry, Computer Science","Research, Public Speaking","Programming, Writing",Practical,Creative Studio,No,Abroad,Balanced,Lawyer,Arts-69%,B.Tech CSE,Software Engineer,Tier-2,0.86
S00072,"Chemistry, Biology","Public Speaking, Designing","Creativity, Design Thinking",Theoretical,Corporate Office,No,Flexible,Job Security,Civil Servant,Science-97%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.99
S00073,"Fine Arts, History","Sports, Debating","Research, Problem Solving",Both,Government Office,Maybe,India,Balanced,Engineer,Commerce-74%,BA Political Science,Public Policy Analyst,Tier-2,0.86
S00074,"Physics, Computer Science","Organizing Events, Experiments","Creativity, Analysis",Practical,Research Lab,No,Abroad,Creativity & Freedom,Manager,Arts-84%,B.Tech IT,IT Engineer,Tier-2,0.9
S00075,"Business Studies, Maths","Debating, Research","Design Thinking, Teamwork",Theoretical,Corporate Office,Maybe,Abroad,Job Security,Civil Servant,Science-65%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.75
S00076,"Computer Science, Accountancy","Drawing, Coding","Writing, Leadership",Practical,NGO,Yes,Flexible,Job Security,Manager,Commerce-46%,B.Com,Accountant,Tier-2,0.7
S00077,"Chemistry, Computer Science","Solving Puzzles, Solving Puzzles","Programming, Programming",Practical,Outdoors,Yes,Abroad,Job Security,Data Scientist,Science-59%,Diploma in Design,Junior Designer,Tier-2,0.76
S00078,"History, Psychology","Solving Puzzles, Coding","Analysis, Programming",Practical,Government Office,Yes,India,Creativity & Freedom,Doctor,Science-76%,BA Psychology,Counselor/HR,Tier-2,0.82
S00079,"Biology, Maths","Debating, Experiments","Programming, Leadership",Both,Corporate Office,Maybe,Flexible,Balanced,Teacher,Science-51%,Diploma in IT,IT Support/Technician,Tier-2,0.76
S00080,"Design, History","Experiments, Research","Research, Creativity",Practical,Government Office,Maybe,India,Job Security,Entrepreneur,Science-90%,BA Psychology,Counselor/HR,Tier-2,0.94
S00081,"Computer Science, Maths","Experiments, Public Speaking","Design Thinking, Teamwork",Practical,Startup,Maybe,Flexible,Balanced,Artist,Science-64%,B.Tech Civil,Civil Engineer,Tier-2,0.77
S00082,"Biology, Physics","Sports, Reading","Analysis, Financial Analysis",Theoretical,Government Office,Yes,Flexible,Creativity & Freedom,Engineer,Science-55%,Diploma in IT,IT Support/Technician,Tier-2,0.72
S00083,"Accountancy, Business Studies","Public Speaking, Coding","Design Thinking, Programming",Both,Government Office,Maybe,India,Creativity & Freedom,Lawyer,Arts-88%,BBA (Finance),Investment Analyst,Tier-1,0.96
S00084,"Accountancy, Computer Science","Research, Debating","Design Thinking, Programming",Practical,Research Lab,Maybe,Abroad,Job Security,Engineer,Science-85%,B.Tech CSE,Software Engineer,Tier-2,0.9
S00085,"Psychology, Political Science","Reading, Public Speaking","Design Thinking, Presentation",Both,Corporate Office,Maybe,Flexible,Balanced,Teacher,Science-67%,BA Political Science,Public Policy Analyst,Tier-2,0.84
S00086,"Chemistry, Computer Science","Coding, Drawing","Communication, Presentation",Both,Corporate Office,Yes,Flexible,Balanced,Artist,Science-79%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.84
S00087,"Maths, Physics","Drawing, Solving Puzzles","Communication, Programming",Both,Corporate Office,Maybe,India,Creativity & Freedom,Civil Servant,Commerce-76%,B.Tech CSE,Software Engineer,Tier-2,0.85
S00088,"Computer Science, Physics","Research, Reading","Creativity, Writing",Both,NGO,Maybe,Flexible,Creativity & Freedom,Doctor,Science-88%,BFA,Artist/Designer,Tier-2,0.91
S00089,"Chemistry, Maths","Organizing Events, Designing","Leadership, Problem Solving",Theoretical,Classroom,Yes,India,Creativity & Freedom,Designer,Commerce-77%,B.Tech CSE,Software Engineer,Tier-2,0.88
S00090,"Biology, Physics","Solving Puzzles, Coding","Research, Creativity",Theoretical,Classroom,Maybe,Abroad,Balanced,Manager,Science-57%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.69
S00091,"Computer Science, Biology","Research, Drawing","Teamwork, Problem Solving",Practical,Outdoors,No,Flexible,Creativity & Freedom,Designer,Science-69%,B.Tech CSE,Software Engineer,Tier-2,0.79
S00092,"History, Psychology","Public Speaking, Reading","Leadership, Analysis",Theoretical,Research Lab,Yes,India,Job Security,Teacher,Science-88%,BA History,Researcher/Archivist,Tier-2,0.95
S00093,"Business Studies, Maths","Experiments, Reading","Financial Analysis, Design Thinking",Both,Government Office,Maybe,Abroad,Job Security,Civil Servant,Science-78%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.9
S00094,"Accountancy, Economics","Helping Others, Experiments","Research, Problem Solving",Practical,Government Office,No,India,Balanced,Engineer,Commerce-77%,BBA (Finance),Investment Analyst,Tier-1,0.86
S00095,"Economics, Maths","Reading, Reading","Analysis, Design Thinking",Theoretical,Research Lab,Yes,Abroad,Job Security,Lawyer,Vocational-45%,BBA,Business Analyst,Tier-2,0.62
S00096,"Maths, Business Studies","Research, Reading","Analysis, Writing",Theoretical,Classroom,No,Flexible,Balanced,Doctor,Arts-81%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.84
S00097,"Biology, Maths","Public Speaking, Research","Problem Solving, Financial Analysis",Both,Research Lab,No,India,Balanced,Manager,Science-72%,B.Tech CSE,Software Engineer,Tier-2,0.81
S00098,"Maths, Business Studies","Solving Puzzles, Organizing Events","Programming, Teamwork",Both,Government Office,Yes,Flexible,Balanced,Manager,Arts-45%,BBA (Finance),Investment Analyst,Tier-2,0.67
S00099,"Maths, Chemistry","Reading, Designing","Design Thinking, Teamwork",Practical,Research Lab,Yes,India,Creativity & Freedom,Engineer,Commerce-79%,B.Tech IT,IT Engineer,Tier-2,0.83
S00100,"Computer Science, Chemistry","Coding, Solving Puzzles","Communication, Analysis",Both,Research Lab,Maybe,Abroad,Job Security,Scientist,Science-96%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.99
S00101,"Maths, Business Studies","Public Speaking, Experiments","Writing, Programming",Theoretical,Outdoors,No,Flexible,Balanced,Civil Servant,Science-68%,B.Tech CSE,Software Engineer,Tier-2,0.84
S00102,"Maths, Business Studies","Reading, Helping Others","Problem Solving, Writing",Practical,NGO,No,Flexible,Job Security,Designer,Arts-58%,B.Com,Accountant,Tier-2,0.77
S00103,"Computer Science, Chemistry","Solving Puzzles, Drawing","Analysis, Leadership",Theoretical,Government Office,Yes,Abroad,Job Security,Scientist,Commerce-60%,B.Tech Civil,Civil Engineer,Tier-2,0.81
S00104,"Physics, Maths","Debating, Solving Puzzles","Presentation, Financial Analysis",Theoretical,Research Lab,Yes,India,Creativity & Freedom,Civil Servant,Commerce-53%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.71
S00105,"Physics, Computer Science","Public Speaking, Debating","Problem Solving, Communication",Both,Classroom,Yes,Abroad,Job Security,Teacher,Science-65%,B.Tech CSE,Software Engineer,Tier-2,0.78
S00106,"Design, History","Drawing, Designing","Research, Design Thinking",Both,Corporate Office,Maybe,Flexible,Balanced,Artist,Commerce-63%,BFA,Artist/Designer,Tier-2,0.73
S00107,"Computer Science, Biology","Designing, Sports","Communication, Presentation",Practical,Corporate Office,No,Abroad,Job Security,Manager,Science-73%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.86
S00108,"Physics, Maths","Experiments, Research","Financial Analysis, Analysis",Practical,Government Office,Yes,India,Creativity & Freedom,Designer,Science-91%,B.Tech ECE,Embedded Systems Engineer,Tier-1,0.96
S00109,"Design, Political Science","Drawing, Solving Puzzles","Creativity, Presentation",Theoretical,Corporate Office,No,India,Job Security,Artist,Arts-60%,BA Political Science,Public Policy Analyst,Tier-2,0.76
S00110,"Psychology, Design","Helping Others, Coding","Teamwork, Design Thinking",Theoretical,Corporate Office,Maybe,Abroad,Creativity & Freedom,Engineer,Arts-67%,BFA,Artist/Designer,Tier-2,0.83
S00111,"Design, Fine Arts","Solving Puzzles, Experiments","Presentation, Research",Theoretical,Creative Studio,Yes,Flexible,Creativity & Freedom,Engineer,Science-61%,BA Psychology,Counselor/HR,Tier-2,0.75
S00112,"Maths, Computer Science","Organizing Events, Experiments","Design Thinking, Presentation",Theoretical,Research Lab,Maybe,Abroad,Creativity & Freedom,Civil Servant,Science-72%,B.Tech IT,IT Engineer,Tier-2,0.88
S00113,"Physics, Computer Science","Coding, Designing","Creativity, Analysis",Practical,Research Lab,Maybe,Flexible,Creativity & Freedom,Doctor,Science-65%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.78
S00114,"History, Political Science","Sports, Experiments","Analysis, Presentation",Theoretical,Startup,Maybe,India,Balanced,Lawyer,Science-91%,BA Political Science,Public Policy Analyst,Tier-2,0.92
S00115,"Chemistry, Biology","Public Speaking, Reading","Programming, Creativity",Theoretical,Creative Studio,Maybe,Abroad,Job Security,Data Scientist,Science-81%,Diploma in Design,Junior Designer,Tier-2,0.85
S00116,"Design, Political Science","Reading, Research","Research, Creativity",Both,Government Office,Maybe,Abroad,Balanced,Engineer,Commerce-63%,BA Political Science,Public Policy Analyst,Tier-2,0.81
S00117,"Business Studies, Accountancy","Public Speaking, Debating","Creativity, Leadership",Practical,Outdoors,No,India,Creativity & Freedom,Designer,Commerce-74%,BBA,Business Analyst,Tier-1,0.86
S00118,"Maths, Biology","Research, Public Speaking","Teamwork, Programming",Theoretical,Startup,Yes,Abroad,Balanced,Engineer,Science-93%,BAMS,Ayurveda Doctor,Tier-1,0.92
S00119,"Psychology, Political Science","Solving Puzzles, Reading","Programming, Problem Solving",Practical,Research Lab,No,India,Job Security,Lawyer,Arts-54%,BA Political Science,Public Policy Analyst,Tier-2,0.77
S00120,"Accountancy, Economics","Helping Others, Debating","Financial Analysis, Programming",Theoretical,Research Lab,Maybe,Abroad,Balanced,Designer,Science-91%,BBA,Business Analyst,Tier-1,0.96
S00121,"Business Studies, Accountancy","Public Speaking, Organizing Events","Problem Solving, Presentation",Practical,Corporate Office,Maybe,Flexible,Creativity & Freedom,Manager,Science-86%,BBA (Finance),Investment Analyst,Tier-1,0.93
S00122,"Computer Science, Maths","Organizing Events, Experiments","Leadership, Programming",Both,Classroom,No,Abroad,Job Security,Doctor,Science-76%,B.Tech CSE,Software Engineer,Tier-2,0.85
S00123,"Computer Science, Chemistry","Sports, Solving Puzzles","Presentation, Analysis",Both,Government Office,No,India,Creativity & Freedom,Designer,Commerce-65%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.77
S00124,"Physics, Computer Science","Organizing Events, Reading","Problem Solving, Design Thinking",Theoretical,Outdoors,Yes,Abroad,Balanced,Lawyer,Science-60%,B.Tech CSE,Software Engineer,Tier-2,0.76
S00125,"Maths, Accountancy","Research, Coding","Creativity, Teamwork",Both,NGO,Yes,India,Balanced,Lawyer,Science-68%,B.Tech Civil,Civil Engineer,Tier-2,0.82
S00126,"Design, Fine Arts","Public Speaking, Coding","Leadership, Problem Solving",Practical,Creative Studio,Maybe,Abroad,Creativity & Freedom,Lawyer,Science-53%,BA Psychology,Counselor/HR,Tier-2,0.72
S00127,"Maths, Physics","Coding, Public Speaking","Research, Programming",Both,Creative Studio,Maybe,Flexible,Balanced,Engineer,Science-56%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.72
S00128,"Psychology, Fine Arts","Drawing, Solving Puzzles","Leadership, Design Thinking",Both,Classroom,Maybe,India,Job Security,Doctor,Science-71%,BFA,Artist/Designer,Tier-2,0.83
S00129,"Computer Science, Chemistry","Sports, Experiments","Design Thinking, Analysis",Practical,Classroom,Maybe,Flexible,Creativity & Freedom,Data Scientist,Science-82%,B.Tech IT,IT Engineer,Tier-2,0.89
S00130,"Maths, Economics","Research, Sports","Financial Analysis, Creativity",Theoretical,Creative Studio,Maybe,Flexible,Balanced,Doctor,Commerce-61%,B.Tech IT,IT Engineer,Tier-2,0.77
S00131,"Computer Science, Maths","Designing, Public Speaking","Programming, Writing",Both,Outdoors,Yes,Flexible,Balanced,Engineer,Science-78%,B.Tech CSE,Software Engineer,Tier-2,0.85
S00132,"Chemistry, Biology","Public Speaking, Organizing Events","Research, Problem Solving",Both,Research Lab,Maybe,India,Balanced,Lawyer,Vocational-70%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.8
S00133,"Computer Science, Maths","Research, Sports","Programming, Problem Solving",Both,Creative Studio,Maybe,Abroad,Job Security,Artist,Science-69%,B.Tech CSE,Software Engineer,Tier-2,0.79
S00134,"Fine Arts, Psychology","Research, Debating","Presentation, Creativity",Theoretical,Government Office,No,Abroad,Balanced,Teacher,Science-86%,BA Psychology,Counselor/HR,Tier-2,0.9
S00135,"Fine Arts, Political Science","Helping Others, Coding","Design Thinking, Communication",Theoretical,NGO,Maybe,Abroad,Balanced,Civil Servant,Science-84%,BA Political Science,Public Policy Analyst,Tier-2,0.95
S00136,"Business Studies, Economics","Organizing Events, Research","Design Thinking, Leadership",Practical,Corporate Office,Maybe,Flexible,Job Security,Manager,Science-56%,BBA (Finance),Investment Analyst,Tier-2,0.72
S00137,"Chemistry, Physics","Designing, Reading","Financial Analysis, Research",Theoretical,Outdoors,No,Abroad,Creativity & Freedom,Manager,Science-55%,Diploma in Design,Junior Designer,Tier-2,0.73
S00138,"Economics, Business Studies","Reading, Public Speaking","Communication, Problem Solving",Theoretical,NGO,Yes,Flexible,Creativity & Freedom,Doctor,Science-86%,B.Com,Accountant,Tier-1,0.96
